區,藥局名稱,地址,電話,負責人,健保特約,類型,品牌
中山區,OK藥師藥局,臺北市中山區興安街95號,02-2517-0068,呂發財,Y,獨立,
中山區,中山伊通藥局,臺北市中山區伊通街97之2號,,吳佳穎,Y,獨立,
中山區,中山藥局,臺北市中山區林森北路128號,02-2523-6979、0937-661-282,謝誌榮,Y,獨立,
中山區,中崙藥局,臺北市中山區八德路2段307號(1樓),02-2711-4971,劉富舉,Y,獨立,
中山區,中興藥局,臺北市中山區長安東路2段226號,02-2777-4628,鄭陳智,Y,獨立,
中山區,久大藥局,臺北市中山區林森北路480號,02-2511-1594,李佩玲,Y,獨立,
中山區,人人藥局,臺北市中山區吉林路二六七號一樓,02-2563-0798,周正錕,N,獨立,
中山區,仁一藥局,臺北市中山區林森北路520號,02-2571-1742,吳松憲,Y,獨立,
中山區,佳頤中西藥局,臺北市中山區長春路147之1號,02-2564-1479,林汶頡,Y,獨立,
中山區,保德明水藥局,臺北市中山區北安路608巷4弄1號,02-8509-7769,黃彥儒,Y,獨立,
中山區,優豐藥局,臺北市中山區民生東路一段三十二號,02-2560-2565,李政坤,Y,獨立,
中山區,元宏藥局,臺北市中山區北安路458巷41弄49號,02-2533-9728,黃宣溥,Y,獨立,
中山區,可康藥局,臺北市中山區林森北路373號(1樓),02-2536-1078,施庭榆,Y,獨立,
中山區,吉林藥局,臺北市中山區吉林路371號(1樓),02-2586-5990,湯尚道,Y,獨立,
中山區,名祥藥局,臺北市中山區龍江路１６６號,02-2503-6265,朱熏祥,Y,獨立,
中山區,名章藥局,臺北市中山區興安街５１－５號１樓,02-2503-4331,廖學章,N,獨立,
中山區,啟美藥師藥局,臺北市中山區錦州街282號,02-2517-8032,范宥富,Y,獨立,
中山區,喜康中西藥局,臺北市中山區錦州街185號1樓,,何金蓮,Y,獨立,
中山區,嘉恩藥局,臺北市中山區錦州街321號,02-2518-1418,陳姿吟,Y,獨立,
中山區,大信藥局,臺北市中山區林森北路159巷6號,02-2571-9080,張正明,Y,獨立,
中山區,大愛藥師藥局,臺北市中山區吉林路255號,02-2542-4723,陳士昌,Y,獨立,
中山區,大直健康藥局,臺北市中山區北安路591號,02-2532-3310,鄭佳琳,Y,獨立,
中山區,大直小太陽藥局,臺北市中山區北安路607-1號,02-8509-3208,林秀美,Y,獨立,
中山區,大直永安藥局,臺北市中山區北安路567之2號,02-2533-2125、0932-959-455,余瑞峰,Y,獨立,
中山區,大直藥局,臺北市中山區北安路617號1樓,02-2532-0522,黃成仲,Y,獨立,
中山區,娸淇藥局,臺北市中山區伊通街95號,02-2508-2762,李宜真,Y,獨立,
中山區,安悅藥局,臺北市中山區吉林路189號,02-2541-9879,蔡東宏,Y,獨立,
中山區,富宥康藥局,臺北市中山區北安路608巷5弄22號,02-2532-4769,汪政毅,Y,獨立,
中山區,專心藥局,臺北市中山區伊通街112之2號,02-2515-5847,朱思蓉,Y,獨立,
中山區,展佑藥局,臺北市中山區長春路一四六之一號,02-2523-2803,洪慧婷,Y,獨立,
中山區,康林藥局,臺北市中山區興安街105號,02-2517-1867,蕭宏安,Y,獨立,
中山區,康銓藥局,臺北市中山區農安街174號,02-2503-9393、0987-968-454,楊哲旻,Y,獨立,
中山區,廣福中西藥局,臺北市中山區錦州街406號,02-2518-9489,張永煌,Y,獨立,
中山區,建元藥局,臺北市中山區德惠街79巷8號,02-2598-6171、02-2597-3380,謝惠玲,N,獨立,
中山區,建誠中西藥局,臺北市中山區龍江路385之1號,02-2515-8608,蔡博全,Y,獨立,
中山區,弘元中西藥局,臺北市中山區長安東路2段64號1樓,02-2518-5688,林博弘,Y,獨立,
中山區,德惠藥局,臺北市中山區德惠街122號,02-2597-1131、0925-859-057,葉益宏,Y,獨立,
中山區,惠友藥局,臺北市中山區一江街６０號一樓,02-2571-2813,楊榮展,N,獨立,
中山區,慈海藥局,臺北市中山區中原街一四三號,02-2594-0989,蕭玉珠,N,獨立,
中山區,承恩藥局,臺北市中山區林森北路119巷55號1樓,02-2562-5117、02-2560-3749,徐桂蘭,N,獨立,
中山區,文德藥局,臺北市中山區龍江路356巷22號1樓,02-2518-1178,林小紋,Y,獨立,
中山區,明水藥局,臺北市中山區明水路651號1樓,02-2533-1121,李柏聖,Y,獨立,
中山區,明美藥局,臺北市中山區長春路６９號１樓,02-2536-5419,楊游惠美,Y,獨立,
中山區,易康藥局,臺北市中山區堤頂大道2段302號(1樓)、304號(1樓),02-8502-9138,王怡珺,Y,獨立,
中山區,星安藥局,臺北市中山區龍江路278號1樓,02-2516-8112,林郁璠,Y,獨立,
中山區,昶青林森藥局,臺北市中山區林森北路119巷18號(1樓),02-2563-9939,陳香光,Y,獨立,
中山區,晏晟藥局,臺北市中山區林森北路６２５號,02-2585-1445,陳伶娥,Y,獨立,
中山區,東東藥局,臺北市中山區長春路257之2號1樓,02-2503-1730,陳盈宏,Y,獨立,
中山區,榮昌藥局,臺北市中山區雙城街十七之三號,,許火登,Y,獨立,
中山區,樂活苑藥局,臺北市中山區北安路546號1樓,02-2532-3296,彭顯善,Y,獨立,
中山區,正傑健保藥局,臺北市中山區長安東路二段181號,02-2731-0181、0958-056-616,蔡正彥,Y,獨立,
中山區,民生興安藥局,臺北市中山區民生東路3段90之1號,02-2501-8310,蔡嘉宏,Y,獨立,
中山區,永直藥局,臺北市中山區北安路595巷2弄6號1樓,02-8509-8059,古芳綺,Y,獨立,
中山區,永育康暉藥局,臺北市中山區樂群二路210之2號1樓,02-8501-2268,張紹暉,Y,獨立,
中山區,沛久藥局,臺北市中山區林森北路291號(1樓),,胡廷岳,Y,獨立,
中山區,泰興藥局,臺北市中山區新生北路二段６２巷３２號,02-2537-1586,黃守賢,N,獨立,
中山區,淮濟藥師藥局,臺北市中山區北安路570號(實際營業地址:1樓及地下1樓),02-8509-8636,郭惟華,Y,獨立,
中山區,滿順藥局,臺北市中山區伊通街54號(1樓),02-2507-5283,郭晉良,Y,獨立,
中山區,王中興藥局,臺北市中山區龍江路273號,02-2503-4281,姜巧玲,Y,獨立,
中山區,百源堂大藥局,臺北市中山區長安東路二段四十七之五號一樓,02-2563-0711,彭祖樞,Y,獨立,
中山區,祥泰藥局,臺北市中山區林森北路136號,02-2561-4200,洪榮宏,Y,獨立,
中山區,禾全藥局,臺北市中山區龍江路332號,02-2516-5721,周裕翔,N,獨立,
中山區,禾康藥局,臺北市中山區植福路296號(實際營業地址:1層),,朱美恩,Y,獨立,
中山區,立大藥局,臺北市中山區吉林路144巷14號,02-2531-3844,毛碧君,Y,獨立,
中山區,第一藥局,臺北市中山區合江街１７巷６號,02-2503-0124,林天造,N,獨立,
中山區,美日藥局,臺北市中山區天津街六十六號一樓,02-2563-1662,黃建嘉,Y,獨立,
中山區,聖晨藥局,臺北市中山區農安街140號,,陳文仁,Y,獨立,
中山區,能康藥局,臺北市中山區長春路４６號,02-2542-9426,蔡海清,Y,獨立,
中山區,興康源藥局,臺北市中山區中山北路1段140巷8號,02-2531-1248,呂　緞,Y,獨立,
中山區,興耀生活藥局,臺北市中山區林森北路405號(1樓),02-2581-8210,吳世英,Y,獨立,
中山區,良佑藥局,臺北市中山區撫順街６之２號１樓,02-2591-6402,張孝玲,Y,獨立,
中山區,艾禾藥局,臺北市中山區大直街63號1樓,,林盛元,Y,獨立,
中山區,華友藥局,臺北市中山區龍江路３５６巷２７號１樓,02-2500-7159,余月華,Y,獨立,
中山區,蓁榛健康生活藥局,臺北市中山區合江街100之2號1樓,02-2509-7780,鍾俊仁,Y,獨立,
中山區,視美藥局,臺北市中山區民權東路三段６０巷８號１樓,02-2501-9597,莊振昇,N,獨立,
中山區,誠意中西藥局,臺北市中山區林森北路613號,02-2595-0951,游志凱,Y,獨立,
中山區,誠果中西藥局,臺北市中山區吉林路101號1樓,02-2523-8563,沈一穎,Y,獨立,
中山區,貢玄藥局,臺北市中山區錦州街２0７號,02-2563-7847,蔡嫦娥,Y,獨立,
中山區,起點藥局,臺北市中山區雙城街3巷18號1樓,,何博州,Y,獨立,
中山區,農安藥局,臺北市中山區農安街18之1號1樓,02-2595-9293,陳美伶,Y,獨立,
中山區,逸帆藥局,臺北市中山區錦州街189號,,謝麗君,Y,獨立,
中山區,金生藥局,臺北市中山區長安東路2段167之1號,02-8772-9808、02-2731-2302,蘇輝鴻,Y,獨立,
中山區,錦州藥局,臺北市中山區錦州街244號1樓,02-2502-6650,李旭明,Y,獨立,
中山區,長安藥局,臺北市中山區長安東路2段171之2號(1樓),02-2777-2740,楊閔淑,Y,獨立,
中山區,長生藥局,臺北市中山區松江路３６２巷５５號１樓,02-2581-6210,陳碧娥,Y,獨立,
中山區,長青藥局,臺北市中山區興安街５５號１樓,02-2505-3160,程寓熙,Y,獨立,
中山區,阿里藥局,臺北市中山區錦州街251號1樓,02-2502-0638,劉美惠,Y,獨立,
中山區,順泰藥局,臺北市中山區錦州街266號1樓,02-2503-8916,陳文福,Y,獨立,
中山區,麗亞藥局,臺北市中山區雙城街32號,02-2598-1065,蔡美娟,N,獨立,
中山區,麗恩藥局,臺北市中山區林森北路575之5號,02-2598-1982,施冠州,Y,獨立,
中山區,龍江藥局,臺北市中山區龍江路356巷14號,02-2502-3724,黃雅玲,N,獨立,
信義區,上好松山藥局,臺北市信義區松山路144號1樓,02-2756-8012,陳凱威,Y,獨立,
信義區,上好藥師藥局,臺北市信義區永吉路30巷101弄48號,02-2767-7088,張鐸耀,Y,獨立,
信義區,上禾藥師藥局,臺北市信義區林口街24巷4號,02-2761-1133,黃威堯,Y,獨立,
信義區,九州藥局,臺北市信義區和平東路三段239號,02-8732-3331,邵瓊慧,Y,獨立,
信義區,仁聖藥局,臺北市信義區信安街151號,02-8732-4166,黃政賢,Y,獨立,
信義區,佑華藥局,臺北市信義區忠孝東路五段五0八之四號一樓,02-2759-5719,黃永立,Y,獨立,
信義區,信桉藥局,臺北市信義區莊敬路236號,02-8786-0005,楊宗勳,Y,獨立,
信義區,信義盛康藥局,臺北市信義區永吉路286號（1樓）,02-2346-0521,鄭秀瓊,Y,獨立,
信義區,信隆藥局,臺北市信義區仁愛路四段496巷5號,02-2729-6953,黃啟信,N,獨立,
